TheoryID,Name,Ascending Intervals,Descending Intervals,Tonic,Tuning,Culture,Country,Region,SocID,,Reference,RefID,Primary_source?,Reduced_scale,Notes
T0029,Hungarian Minor 1,2;1;3;1;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0030,Hungarian Minor 2,2;1;3;1;1;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0031,Spanish Phrygian 7 tone,1;3;1;2;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0032,Spanish Phrygian 8 tone,1;2;1;1;2;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0033,Espla's Scale,1;2;1;1;1;2;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0034,Double Harmonic,1;3;1;2;1;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0035,Harmonic Phrygian,1;2;2;2;1;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0036,Phrygian Major,1;2;2;2;2;2;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0037,Major Locrian,2;2;1;1;2;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0038,Minor Locrian,2;1;2;1;2;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0039,Locrian Minor,2;1;2;1;2;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0040,Super Locrian,1;2;1;2;2;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0041,Ultra Locrian,1;2;1;2;2;1;3,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0042,Oriental,1;2;2;1;3;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0043,Doric Locrian,2;1;2;1;3;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0044,Persian,1;3;1;1;3;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0045,Tcherepnin Enneatonic,1;2;1;1;2;1;1;2;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0046,Tcherepnin Hexatonic,1;3;1;3;1;3,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0047,Shostakovich,1;2;1;3;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0048,Hijaz,1;3;1;2;1;2;2,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0049,Souzinak,2;1;3;1;2;1;2,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0050,Hijazkiar,1;3;1;2;1;3;1,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0051,Rast,2;2;1;2;2;2;1,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0052,Houzam,3;1;1;2;1;3;1,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0053,Ousak,1;2;2;2;1;2;2,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0054,Niaventi,2;1;3;1;1;3;1,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0055,Kiordi,2;1;2;2;1;2;2,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
