Name,Ascending Intervals,Descending Intervals,Tonic,Variants,Tuning,Culture,Region,Reference,RefID,Primary_source?,Country,Measured_type,Instrument,Inst_type,Melodic / Harmonic,Octave_modified,Reduced_scale,Notes,SocID
Slendro 1,263;223;253;236;225,N/A,1,N/A,N/A,Gamelan,South East Asia,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018 ",2,N,Indonesia,Instrument,N/A,N/A,N/A,N,Y,"It is not clear which instrument these tunings came from, but the fact that the tunings are given to an accuracy of 1 cents, is in line with other instrument tunings.",Gam17
Mawam Yakah Bayati,4;3;3;4;4;3;3,4;3;3;4;3;3;4,1,N/A,24-tet,Arabic,Middle East,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018 ",2,N,Many,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ara11
